title,rating,body,author,date,TextBlob_sentiment,Pysentimiento_sentiment,BERT_sentiment
Compra acertada!,"5,0 de 5 estrellas","Play Video
Llegó en tiempo y perfectas condiciones. Facil de usar, muy intuitivo. A pesar de haber varios comentarios sobre el manual, de que es muy simple y por lo tanto dificil de poner la cafetera en marcha, yo lo he encontrado muy intuitivo y facil.

El gusto de cada persona en marca de café y su intensidad, es diferente, yo por ejemplo prefiero fuerte y por lo tanto hecho una cucharra de cafe extra siempre, es decir para 5 tazas de café hecho 6 cucharras de cafe, a parte de poner la opción de sabor intenso de la cafetera.

Adjunto video de como he puesto la cafetera en hora y como programar que prepare café una hora determinada, espero que sea de ayuda por si a alguien le está sugiriendo problemas.",Johanna Forssell,Revisado en España el 28 de agosto de 2020,NEU,POS,POS
Cafe rico,"4,0 de 5 estrellas","La verdad que sale rico, caliente, muy buena compra",Dario Beiro,Revisado en España el 18 de julio de 2024,NEU,POS,POS
Fantástica cafetera a muy buen precio,"5,0 de 5 estrellas",Fantástica cafetera a muy buen precio. La compra anterior de otra marca solo duró 4 meses y costó el doble. Hasta ahora estoy muy contento. Botón especial también para café más fuerte.,steve c Spain,Revisado en España el 15 de julio de 2024,NEU,POS,POS
Muy bien,"5,0 de 5 estrellas",Tal y cómo se describe,Loren,Revisado en España el 19 de julio de 2024,NEU,NEU,POS
Buen café,"5,0 de 5 estrellas",Cada día disfrutando de ella,Alberto,Revisado en España el 18 de julio de 2024,NEU,POS,POS
Buena calidad,"5,0 de 5 estrellas",Todo perfecto,Guillermo,Revisado en España el 17 de julio de 2024,NEU,NEU,POS
No está mal…,"4,0 de 5 estrellas","Pero, ¿qué sentido tiene poner los números de la jarra de cristal de color negro si su contenido es negro?(café).

Hace cinco años compré una marca “la pava” por aquí (Amazon) y hasta ahora, pero está no sé…

Me la comeré por así decirlo pero, el tema de la jarra es de cajón (que yo sepa no se hierve leche 🥛 ahí, como para poder ver los números).

Luego, solo sale inscrito el modelo pero no la marca…

En fin, no está mal pero…

Tengo la digital (12 cups) y con la antigua se podía programar hacer el café fuerte pero con esta…necesito un Master & Commander.com porque las instrucciones no son para nada, claras (vamos que, el código binario se queda atrás),",Катерина7,Revisado en España el 22 de febrero de 2024,NEU,NEU,NEU
Buenas funcionalidades y buen café de goteo.,"4,0 de 5 estrellas","Diseño atractivo, buenas funcionalidades como la de café FUERTE y muy fácil de usar gracias al panel frontal del aparato. La única pega que le encuentro es que por condensación, queda todo el cajetín mojado por gotas que se quedan en el interior del compartimento del filtro y plásticos que lo conforman. debido al cierre hermético del conjunto. Es un problema funcional de diseño, que condensa el vapor debido al cierre hermético del depósito, filtro i emisor de agua hirviendo.",Josep Serrano,Revisado en España el 13 de marzo de 2024,NEU,NEU,NEU
Fácil de usar,"4,0 de 5 estrellas","Me encanta que se pueda programar y que mantenga el café caliente. Es bastante compacta, así que no ocupa mucho espacio en la encimera y eso, para mí, es lo más importante. El café sale rico, la verdad es que me gusta más que hecho en cafetera italiana.
La jarra parece bastante delicada, he visto otras con jarras más resistentes, espero que solo sea la apariencia y que resista.
También condensa mucho en la tapa, ya había visto comentarios al respecto pero bueno, creo que es un mal menor.
Cogí la que viene con 2 filtros reutilizables.
En general, y habiendo pagado 34 euros, muy contenta con la compra.",Dalsome,Revisado en España el 6 de enero de 2024,POS,POS,POS
La gran cantidad,"4,0 de 5 estrellas",Muy buena pero la pegatina q lleva en la frontal no sirve,Andrés de Freitas,Revisado en España el 18 de abril de 2024,NEU,NEG,POS
Manual não explica,"4,0 de 5 estrellas","El manual es pesimo! Dice por ejemplo que despues de parpadear la bombilla ella se queda fija, pero eso no pasa! Queda parpadeando hasta el final de los 40 minutos. Me gustó que se puede programar e eso funciona bien. El sabor no sé todavia evaluar, porqué estoy probando diversos tipos de café...lo mejos, hasta ahora fue con molido al instante y recalentado (! Ni van a creer, pero el recalentado quedó con sabor mucho mejor!). Otra cosa es que no se puede hacer el intenso programado...o no logré entender como. Si que se puede recalentar...basta con apretar el boton de lugar y comienza a parpadear la bombilla y recalienta...no sé porqué no lo explican en el manual. Cuanto al tamaño y apariencia, si, perfectos..
.",cyro campagnola,Revisado en España el 27 de noviembre de 2023,NEU,NEG,NEG
Cafetera,"4,0 de 5 estrellas","La cafetera es una pasada rápida y sencilla de manejar tiene para hacerse una limpieza ella sola, trae dos filtros que vienen muy bien para hacer café sin necesidad de lavar rápidamente el usado",Jose Anastasio Bernaldez,Revisado en España el 24 de marzo de 2024,NEU,POS,POS
Cafetera d goteo sin más.,"4,0 de 5 estrellas",Cumple su función y está bien en relación calidad precio.,Marcela,Revisado en España el 14 de abril de 2024,NEU,POS,POS
Cafetera,"4,0 de 5 estrellas","Es como la describen,es cómoda de fácil manejo y calidad precio genial",Cafetera,Revisado en España el 14 de abril de 2024,NEU,POS,POS
Charo García,"4,0 de 5 estrellas","La cafetera funciona muy bien, lo único que no me gusta es el filtro permanente que pasa el agua muy rápido y deja posos del café en la taza, así que pongo un filtro desechable y así funciona mejor",Charo,Revisado en España el 16 de marzo de 2024,NEU,NEU,POS
Practica y bonita,"4,0 de 5 estrellas","Las cafeteras de goteo no tienen ningun misterio, el sistema es igual en todas. Me decanté por esta, por su diseño de lineas rectas y color negro y acero. Quizas es un poco mas alta que otras, pero al final te cabe en el mismo hueco. Ventajas respecto a otras: 1- Me gusta que para echar el cafe, se levante la tapa en vez de que gire hacia un lado el recipiente (en mi caso tengo el tostador sl lado y siempre me molestaba con la anterior que tenia ese sistema). 2- El filtro es permanente y se limpia muy fácil con agua, olvídate de comprar filtros de papel. 3- La jarra tiene boca ancha, lo que facilita su limpieza, hay otras que la boca es muy estrecha y cuesta limpiarla.
Como negativo (por eso no pongo 5 estrellas), es que llenando el depósito hasta la marca de 12 tazas y llenando el recipiente de cafe con cafe para 12 tazas, el cafe queda demasiado aguado. Para mi gusto, yo lleno el recipiente de cafe como para 12 tazas y echo agua, como para 8 o 9 tazas y asi consigo un cafe mas intenso.",Gustavo,Revisado en España el 1 de julio de 2023,NEU,NEU,NEU
MUY BUEN CAFE Y FACIL DE USAR,"4,0 de 5 estrellas","En resumen se puede decir que es una caferera muy facil de usar y hace un cafe muy bueno en poco tiempo, además se nota que los materiales con los que esta fabricada son de calidad.

Paso a describir con más detalle esta cafetera. En mi caso he comprado el modelo más sencillo, solo tiene un botón de apagado y encendido.

La primera impresión cuando sacas la cafetera de la caja es que es de muy buena calidad ya qie esta fabricada en plástico y aluminio y ambos tienen muy buen tacto y aspecto, siendo robusta y con muy buen diseño.

Al abrir su cubierta superior observamos el depósito de agua con una capacidad máxima de 1,5 litros (12 tazas).

Igualmente podemos observar en filtro donde echar el café, el cial sale facilmente y tiene un pequeño asa para sacar y meter el filtro en el portafiltro.

El difusor por el que sale el agua tiene varios agujeros y parece una regadera, lo que hace que el agua llegue de foa uniforme al cafe que contiene el filtro.

La jarra tiene una capacidad de 1',5 litros.

La cafetera tiene una pitencia de 950w, lo que hace qie el café salga en poco tiempo.

El funcionamiento es muy simple, llenamos el depósito de agua, echamos la cantidad de café deseada en el filtro, cerramos la tapa superior y pulsamos el boton de encendido.

El cafe esta listo en poco tiempo y el sabor es muy bueno.

Yo he probado con varias cantidades de café y agua hasta que he encontrado el sabor deseado...

Por último decir que la cafetera incluye una cucharilla para medir la contidad de cafe, en teoría es una cucharilla por taza de café... Pero como he dicho anteriormente eso es orientativo.

Lo peor de esta cafetera es el manual de instrucciones, que no explica nada.

Las piezas de la cafetera son facilmente desmontables por ño que su limpieza es muy facil.

Recomiendo totalmente esta cafetera.",Jorge,Revisado en España el 20 de marzo de 2022,POS,POS,POS
Tener cafe listo,"4,0 de 5 estrellas","Es exactamente lo que habia pedido, en medidas y funcionamiento, lo unico que cuando termina de hacer el cafe genera tanto bao que tienes que limpiarla mas a menudo que la que tenia antes.",Miguel Ángel Encabo,Revisado en España el 13 de marzo de 2024,NEU,NEU,POS
Genial,"4,0 de 5 estrellas",Es muy bonita y funciona genial,Mila sanchez,Revisado en España el 7 de abril de 2024,NEU,POS,POS
Funcionalidad,"4,0 de 5 estrellas","Es fácil de usar, la pantalla no se apaga siempre esta encendida no me gusta mucho, el café queda bien aunque no muy caliente.",Sergio Aldana,Revisado en España el 19 de marzo de 2024,NEU,POS,POS
A mí me gusta,"3,0 de 5 estrellas",A mí me gusta pero tengo que reconocer que desde que la tengo gasto más café y a mí familia no le gusta según ellos el café sale muy aguado...le veo el fallo que cuando haces el café se condensa en agua y creo que eso es un punto en contra parte del gasto de café...tiene que hacer como mínimo para 4 personas y yo para que salga una café médicamente bueno le pongo 5 casitos de café...no sé si recomendarla o no eso sí poner el café y programarla para que salga el café a la hora que tú quieras eso es un GRAN PUNTO A SU FAVOR SIN LUGAR A DUDAS.,Loli,Revisado en España el 17 de abril de 2024,NEU,NEU,POS
Fácil de usar,"4,0 de 5 estrellas","Perfecta para la oficina, permite hacer hasta 12 cafés, incluso programar la cafetera.",Cliente Amazon,Revisado en España el 28 de marzo de 2024,NEU,NEU,POS
La devolvi,"3,0 de 5 estrellas",Venía rota la devolví sin problema,Lorenzo del Real Vicente,Revisado en España el 18 de julio de 2024,NEU,NEU,NEG
Buena cafetera,"4,0 de 5 estrellas","Play Video
Maravillosa excepto por el poco tiempo que mantiene caliente el café","El único fallo es que apaga la base a los 40 mtos (no es incidencia, es para que no se queme el café) y es poco tiempo para dejarlo caliente",Revisado en España el 11 de marzo de 2024,NEU,POS,POS
CASI PERFECTA,"4,0 de 5 estrellas","Me encanta esta cafetera, hace un café riquísimo, yo la uso con filtro de papel, el café queda más limpio, sin posos. Me gusta muchísimo que es programable y a un precio muy asequible.
El único pero que le veo, en estos tiempos de ahorro energético es que la pantalla no se apaga a no ser que la desenchufes, lo que no es viable si la programas para hacer café a la mañana, la pantalla está toda la noche encendida con el consiguiente gasto eléctrico.
Por eso le pongo 4 estrellas y no 5.",Raul,Revisado en España el 11 de noviembre de 2023,NEU,NEU,POS
Buena opción por calidad-precio Cafetera 6 tazas,"4,0 de 5 estrellas","Es una cafetera de goteo compacta, rápida y hace buen café.
Al ser de color oscuro no se distingue bien el nivel de agua que le echas y alguna vez se me ha salido por el hueco que lleva para ello en la parte de atrás.
Por lo demás, creo que en cafeteras pequeñas de goteo, por precio y diseño es la mejor.
Uno de esos casos en los que tienes que dar gracias a Cecotec por hacer buenos productos a precio accesible.",NDD,Revisado en España el 5 de diciembre de 2023,NEU,POS,POS
buen producto,"4,0 de 5 estrellas","Hace el cafe super rapido,me parece una buena compra",No me han llegado,Revisado en España el 19 de marzo de 2024,POS,POS,POS
Utilidad,"4,0 de 5 estrellas","Es rápida y fácil de usar y lavar, lo único que la pantalla siempre queda prendida y no hay un modo descanso",Muy delicada con todos los detalles.,Revisado en España el 29 de febrero de 2024,NEU,NEU,POS
Me encanta,"5,0 de 5 estrellas",Me encanta. El café es muy bueno y se hace en un momento. Muy fácil de usar y de limpiar. Lo que me encanta es que se puede programar para tener café caliente cuando te despiertas.,Nathalie,Revisado en España el 19 de abril de 2024,NEU,POS,POS
Calidad,"4,0 de 5 estrellas","De momento bien. Hace rico el café.
Pesa muy poco, tengo que sujetarla para levantar la tapa y no debo pasarme del agua porque por detrás tienen un orificio donde sale lo que sobra😂😂 . Me gusta que se apague cuando yo me olvido. Para la calidad y precio que tiene está bien.",ANA M. D.S.,Revisado en España el 18 de diciembre de 2023,NEU,NEU,POS
No me termino de gustar,"4,0 de 5 estrellas","En primer lugar he de decir que funciona bien, el café sale caliente y la calidad de los materiales es aceptable pero en contra tiene que hace mucho vapor de agua que queda retenida debajo de la tapa y cuando la levantas está todo mojado y el agua queda retenida alrededor del filtro cosa que no nos ha gustado por que no se desagüa y queda ahí.",Sendrety,Revisado en España el 29 de noviembre de 2023,NEU,NEU,NEG
Lo justo para su precio,"4,0 de 5 estrellas","Todo d plástico, hace café y ya está , por ese precio.",ana,Revisado en España el 15 de febrero de 2024,NEU,NEU,POS
El servicio postventa es un chiste de los muy malos,"1,0 de 5 estrellas","Antes de la verdadera reclamación, ni el café sale tan bueno como pintan, y la calidad el material es lamentable.
Os cuento mi historia con el SAC de esta empresa, con lo que les he escrito.
--------------------------------------------------------------------
Pedí un reemplazo de una cafetera Cecotec Smart 66, con menos de dos meses de uso, en la cual se rompió la jarra sola. Aún así no insistí en ello porque se puede romper una jarra de cristal (malo) por mil motivos diferentes. Este pedido se realizó el 25 de Enero. El plazo de entrega que me dijistéis era entre 10 y 15 días.

El 11 de Febrero puse una primera reclamación. No hubo ninguna explicación de por qué tardaba tanto, aún así no protesté porque pensé que efectivamente ibáis a arreglar el problema enviando la jarra. Este ticket de petición se abrió y cerró en menos de media hora, lo cual ya me parece raro.

El 19 de Febrero puse una nueva reclamación, con número 01440120. Esta vez no fuí suave, y os advertí que si para el martes 23 no tenía la jarra, no la quería. Aún así he esperado hasta hoy, día 26. Otra vez el ticket fue cerrado al poco rato de apertura (y esa manía de cerrar tickets de incidencias que no han sido resueltas???). Otra vez no fuisteis capaz de dar ninguna explicación.

En los tiempos que estamos pasando, puedo ir a cualquier compañía de transporte, enviar algo y estar al día siguiente en el destino solicitado. Han pasado 32 días desde el pedido y, puesto que carezco de explicaciones, solo puedo pensar que no habéis hecho absolutamente nada por el envío del producto que he pedido. ¿Sois capaces de dar una explicación ahora? Os he llamado de nuevo, y la primera pregunta que me han hecho es, literalmente, ""¿pero qué ha pedido usted exactamente?"". Y encima, vuestra querida trabajadora, se pone chula conmigo, el cliente cabreado con vuestro servicio. Y de paso, tira fichas al resto de empleados diciendo que ellos no tienen que saber qué pasa. Los trabajadores de ese departamento dejan mucho que desear.

Nunca, en mi vida, he visto un servicio de atención al cliente tan PÉSIMO, porque hasta las tiendas de barrio se preocupan más por el cliente. El descontento no es que sea enorme, es lo siguiente. Mi nivel de satisfacción con vosotros es leer la marca Cecotec en cualquier producto y querer huir, avisando a posibles compradores que ni se atrevan.

Como podéis imaginar, no quiero ya esta jarra. De hecho, si tengo algún día libre, no me importaría enviaros la cafetera que está intacta, que de un día para otro la tendríais.

Un consejo, una empresa no se mantiene en pie solo a base de ventas de productos a buen precio, necesita también un servicio de atención al cliente / postventa que ofrezca un mínimo de calidad para atender los problemas que puedan causar los productos, porque esto va a afectar a posibles compras en un futuro, tanto de la persona con el problema, como de otros posibles clientes, los cuales tendrán malas recomendaciones.
--------------------------------------------------------------------

Espero que, tras esta información que os he dado, os planteeis seriamente comprar cualquier producto Cecotec, porque esta es sólo una opinión de su servicio técnico de las mil que tienen, que no hay que mirar mucho para ver como todos tenemos punto en común. Como compréis un producto con defecto, y tengáis que poner una reclamación, mucha suerte (y paciencia, la necesitaréis).",Pejota,Revisado en España el 26 de febrero de 2021,NEG,NEG,NEG
"Producto bien, envío horrible (pero horrible).","1,0 de 5 estrellas","La cafetera, en sí, es lo que es y no hay más. Si buscas una cafetera programable esta está bien, no ocupa mucho espacio y es bonita. Aún no la hemos puesto en funcionamiento, por lo que no sé cómo sale el café.

El problema ha sido la entrega.
Al comprarla, pedí que me la empaquetasen en una caja de Amazon ya que era un regalo de navidad y, aunque tenía que llegar un día en que estaba yo en casa, prefería no arriesgar.
Pues todo mal: no me la empaquetaron; es decir, llegó con la caja de la cafetera a la vista y, por lo tanto, se veía el producto.
Además, llegó un día antes, yo no estaba en casa, la recibió mi pareja y se jorobó la sorpresa navideña.
Por otro lado, la caja venía con golpes y picada.

Iba a devolver el producto (la verdad es que me tocó bastante la moral el tema), pero a mí pareja le gustó tanto que, al final, nos la quedamos. Él feliz, pues todos felices.

En mí caso, después del minuto de enfado, no pasó nada más, le di el regalo adelantado cuando llegué a casa, ya está; pero si en casa hay niños o niñas (entiendo que no serán ellos los que abran la puerta, pero pueden darse accidentes), o hay alguien que compra algo realmente especial, esto es un poco vergonzoso (y más teniendo en cuenta que se especificó en el envío que no se viera el producto y, más, teniendo en cuenta las fechas que son. Un poco de cuidado, por la virgen ⚠️).

Querido Amazon, no me sirve de nada que me vendas el espíritu navideño a base de publi lacrimógena con niños y abuelos felices al rededor de paquetes de Amazon si después haces estas 💩. Fatal.",Laura,Revisado en España el 3 de diciembre de 2023,NEG,NEG,NEG
A evitar: no duran más de dos años,"1,0 de 5 estrellas","Jamás había visto un electrodoméstico con un fallo de diseño tan flagrante. En abril de 2021 compré la primera y me gustó mucho. Apenas dos años después me hice con otra porque la primera empezó a echar agua por donde no debía: se había abierto un agujerito en la canalización interna con el que el aparato calienta el agua que luego gotea al filtro. No le di más importancia, me había salido mala y es barata, después de todo. La sorpresa llega cuando la segunda cafetera, que compré en marzo de hace exactamente un año, ahora está teniendo el mismo problema: me encharca la encimera porque escupe agua por debajo por una rotura interna de las tuberías. Me parece evidente que hay un fallo de diseño y he caído dos veces, pero desde luego no voy a caer una tercera vez.",Alberto R. Aguiar,Revisado en España el 8 de abril de 2024,NEU,NEG,NEG
"Peligro, cortocircuita. Lo que parecía económico y de buena calidad se ha convertido en un peligro.","1,0 de 5 estrellas","MODELO CON DISPLAY: Comprado en abril 2020, parecía de buena calidad y precio. En septiembre 2021 empezó a gotear por abajo y a inundarse el display, sin motivo aparente (estaba bien cuidada, no se manipuló, ni movió ni volteó nunca). En octubre 2021 ha provocado un cortocircuito. NO COMPRAR, ES UN PELIGRO. Al estar en garantía, Amazon hizo la devolución. COMPRÉ EL MISMO MODELO SIN DISPLAY en octubre de 2021. Hoy es 02/09/2022 y... no tiene un año y desde hace una semana me está dejando la encimera empapada. Supongo que en algún momento cortocircuitará. Ni idea de por dónde pierde, pero cada día más. CECOTEC, nunca más.

SOBRE EL MODELO CON DISPLAY (Crítica al comprarla):

El manual en abril 2021 era lamentable, cosa inexplicable porque tiene cuatro cosas y ocupa unos pocos párrafos, que se redacta en cinco minutos. De todas formas no tiene mayor dificultad de uso.

Destacaba la potencia, era rápida y producía café a una buena temperatura, algo suele ser una deficiencia de este tipo de cafeteras. A 10/2021 ya da igual, si al final acaba con fugas de agua y provocando un cortocircuito. Y a 09/2022, confirmado que no es un fallo casual, sino sistemático, al verter también la sustituta sin display.

La pantalla retroiluminada no se puede desconectar, salvo que desenchufes el aparato (y se borrará la memoria del reloj). Y da igual porque acabará inundada sola.

Ojo al cargar el agua, pues es fácil apuntar mal y que salga por la zona de la placa eléctrica que mantiene el café caliente, y no es recomendable mojar esa zona. Esto no fue el problema, el agua entro por alguna zona supuestamente sellada de fábrica.

Ya veremos la obsolescencia de esta cafetera. ACTUALIZACIÓN: un añito y vierte y acaba cortocircuitando.

Normalmente en este tipo de productos se avería la resistencia y no se puede cambiar y hay que tirarla (debería ser delito, la pieza puede costar céntimos y debería ser un consumible para evitar residuos innecesarios). Y la tapa tiene un mecanismo que no se cuánto aguantará. Ojalá me sorprenda y dure un tiempo suficiente. Al año aguantó la tapa pero empezó a gotear por abajo, después ya a llover, y a inundarse el display, provocando un cortocircuito.

El diseño, para gustos. Destaca que es muy compacta y ocupa menos que la mayoría de cafeteras.

Por el precio que tiene, tienes más funciones que otras de marcas de más prestigio diseñadas para no durar. Aunque esta tiene el peligro de fugas de agua y riesgo de cortocircuito. Ojo.",MPR,Revisado en España el 19 de abril de 2020,NEG,NEG,NEG
Cafetera defectuosa.,"1,0 de 5 estrellas","Llegó, la prove enseguida y se salía el depósito por detrás a chorros, ni un poco de café salió. Amazon tendría que revisar los aparatos que venden o hacer más fácil su devolución y reembolso puesto que. No es culpa del cliente. Espero el reembolso lo antes posible. Esperando el reembolso después de 6 días",Shanti,Revisado en España el 19 de julio de 2024,NEU,NEG,NEG
Segunda vez que compro y tambien esta mal,"1,0 de 5 estrellas","La compré una vez y al día siguiente la devolví pensando que estaba defectuosa. Volví a comprarla nuevamente y hoy la he recibido y también está defectuosa.
En las instrucciones pone claramente que mientras se esta haciendo café parpadea una luz roja, que se queda fija para indicar cuando ha terminado de hacerse el café, dando paso a la placa calentadora durante 40 minutos y luego se apaga automáticamente.
Pues en las dos cafeteras esa luz parpadeante no queda fija en ningún momento, por lo que entiendo que está mal y que así no se mantendrá el café caliente porque la placa no se conectará.
Supongo que el fabricante tendrá una explicación y de no ser así la devolveré nuevamente.

Añado información: Pasados unos días el fabricante no se ha molestado en contestar nada, ni resolver el problema.
NO LA RECOMIENDO, ESTÁN TODAS MAL.",Catasol,Revisado en España el 16 de noviembre de 2023,NEU,NEG,NEG
Pesimo,"1,0 de 5 estrellas","Lo compre en enero de 2024, a menos de un mes la jarra de cristal se rajó, literal por echar agua, evidentemente ya no daban solución por esto por lo que compre una nueva jarra pero a marzo cada que se encendía saltaban los plomos de casa ya que hacia corto y dejó de funcionar del todo. Menos de 3 meses de uso y ya no funciona, pésima calidad. NO COMPRAR!!",Lennonvs,Revisado en España el 29 de marzo de 2024,NEU,NEG,NEG
No volvería a comprar,"1,0 de 5 estrellas",Muy mal diseñada... Donde se ha visto que el tope para el llenado de agua sea un agujero por detrás que te llena la cocina de agua... Todavía no he conseguido b tomar un café sin posos.. Da igual que la llenes mucho o que pongas poco café... Antes tenía una Bosch y estoy muy decepcionado con el cambio.... No la recomiendo.. Es solo apariencia.. Por Dios que no es reloj suizo.... Como se puede hacer tan mal una cafetera.,jose antonio,Revisado en España el 20 de febrero de 2024,NEU,NEG,NEG
Asistencia Técnica pesima.,"1,0 de 5 estrellas","La cafetera dejo de funcionar después de 4 meses, desde aquí quise poner reclamación y me mandaron a asistencia técnica de Cecotec, donde solicité reparación el pasado día 30 de enero de 2024, todavía no me han dado respuesta, nada mas solicitar la asistencia, en el estado de esta, apareció ""Garantía Pendiente de validación"" y así seguimos, les facilité, fecha de compra, factura....
Posventa de Cecotec pésimo, mira que he comprado cosas de esta marca, pues no lo volveré hacer, que vergüenza.",Cliente Amazon,Revisado en España el 7 de febrero de 2024,NEU,NEG,NEG
Se atasca,"1,0 de 5 estrellas","El sistema para que el agua caiga al cafe es pesimo, acaba apelmazando el café en el filtro, da igual si usas de papel o el que viene, eches normal o poco, no es consistente. Por no hablar de la cantidad de posos que deja.",J,Revisado en España el 16 de abril de 2024,POS,NEG,NEG
devuelta,"1,0 de 5 estrellas","No puedo opinar sobre la cafetera porque no llegue a probarla de verdad.

Hasta donde puedo decir, no tiene boton de apagado, la enchufas, pones la hora, la programas, y esta siempre la luz azul encendida del reloj en azul, imposible apagarla.

Si la desenchufas, pierde la hora, ahi que ponerla en hora programarla, por lo cuál no es comoda.

Para colmo no pone Cecotec en ningun sito, el mismo modelo, comprada unos meses antes, tiene más plastico de calidad

Por este motivo la devolvi, sin llegar a usarla",Ilde,Revisado en España el 2 de enero de 2024,NEU,NEG,NEG
Vergonzoso. Llega rota,"1,0 de 5 estrellas","Llega con el sistema de goteo roto.
No volveré a comprar productos de esta marca.",Iván,Revisado en España el 18 de julio de 2024,NEU,NEG,NEG
Vino rota,"1,0 de 5 estrellas","La cafetera es preciosa, pero la voy a abrir y me llegó rota la parte donde cae el café. Que decepción. Me traen otra y vino bien, a los dos usos se me salió la pintura al calentador. No creo volver a comprar",Jessica,Revisado en España el 5 de marzo de 2024,NEU,NEG,NEG
Mala calidad de materiales,"1,0 de 5 estrellas","Funciona muy bien, pero la calidad de materiales es pésima. Comprada en septiembre de 2023 y a primeros de diciembre de 2023 el protector que cubre la placa ha empezado a levantarse. Hablado con Amazon he procedido a su devolución. Una cafetera que tiene uso ocasional y está en perfecto estado de conservación, es la normal general, cada vez quieren vender más barato pero a costa de pésimos materiales, no puede ser que en a penas 3 meses presenten esos fallos",Miguel,Revisado en España el 3 de diciembre de 2023,POS,NEG,NEG
NO COMPRARLA!!!,"1,0 de 5 estrellas","Al principio funcionó muy bien pero a los 2 meses *(y el mes de agosto estuvo sin usar) el café echa muchos posos. He tenido cafeteras de tofo tipo incluidas baratas para playa y jamás me ha pasado ésto.
He contactactado con el vendedor y ni ha respondido. Tengo además el problema de que como funcionaba bién, tiré la caja, a ver qué sucede ahora con la devolución.
Editaré para actualizar si se ponen en contacto conmigo y me ofrecen una respuesta satisfactoria, pero NO RECOMIENDO LA CAFETERA. Las de Mediamark de 25€ me han salido mejor.",María,Revisado en España el 16 de septiembre de 2023,NEU,NEG,NEG
Cafe aguado,"1,0 de 5 estrellas","Me gusta el diseño y sus botones pero el café sale muy claro, aguado y sabor débil, probada con varios cafés de diferentes marcas y aumenrando cantidad de café y reduciendo agua.Aguado.",Cliente Amazon,Revisado en España el 13 de marzo de 2024,NEU,POS,NEG
Estropeada a los tres meses,"1,0 de 5 estrellas","Lo dicho en el título. A los tres meses ha dejado de funcionar sin más. Se ve que calienta pero no echa agua por ningún lado.
Incluso haciéndole descalcificaciones periódicas y siempre con agua mineral.
En fin, ha ido directamente a la basura.
Con la fama que tiene el fabricante no me he molestado ni en enviarla a reparar para que estén meses mareandome.",Juan F.,Revisado en España el 20 de diciembre de 2023,NEU,NEG,NEG
Malisima Cafetera,"1,0 de 5 estrellas","Malisima cafetera, posos en el fondo siempre al hacer el cafe, nunca me habia pasado con una cafetera, creia que Cecotec era buena marca pero en cafeteras un 0, o he tenido mala suerte",Koke,Revisado en España el 12 de febrero de 2024,NEU,NEG,NEG
No lo compréis,"1,0 de 5 estrellas",Ha dejado de funcionar tras dos meses de uso y en la página no responden tras varios intentos de contactar con ellos,Dereck.,Revisado en España el 27 de marzo de 2024,NEU,NEG,NEG
Deja de funcionar al poco tiempo de comprarla,"1,0 de 5 estrellas","Se vierte todo el café por dentro y hay que lavarla entera después de cada jarra de café que se hace, y a los poco meses deja de funcionar.",MARI CARMEN,Revisado en España el 24 de febrero de 2024,NEU,NEG,NEG
Qué envíen una cafetera que al menos se encienda...,"1,0 de 5 estrellas","No hay mucho que decir al respecto.

La enchufo, pulso el botón y no pasa nada. Ni se enciende, ni hay indicio de que pase nada más...
No entiendo como no pasa un proceso de calidad tan básico como es el de enchufar el aparato antes de distribuirlo...

En cuanto a acabados y materiales, he de decir que tengo dos cafeteras del mismo diseño, pero con pantalla digital, y no solo los materiales son mucho mejores (el de esta Cecotec es de plástico muy endeble y duro. Muy mala factura) si no que los ajustes tampoco tienen nada que ver, estando los de esta mucho peor ejecutados. El filtro es de peor material, el cazo no se puede sacar, el deposito de agua tiene un aliviadero justo en el marcador de las 12 tazas con lo que nunca podras hacer cafeteras más grandes, etc. Lo que en la web parecia otra cafetera mas como las que tengo, (Yabano y otra igual con otro nombre que ya no venden) y llevan años funcionando sin problema, en esta ni funciona el contacto. No la volvería a comprar ni aunque funcionara.",Teseo,Revisado en España el 4 de febrero de 2022,NEU,NEG,NEG
Muy malo el servicio post venta CECOTEC,"1,0 de 5 estrellas","Compramos la cafetera a finales de septiembre y un mes después se estropeó . Cada vez que la poníamos a funcionar, saltaban los plomos de toda la casa. Me puse en contacto con CECOTEC, abrí una incidencia , me dijeron que me enviarían otra cafetera. Un mes después no tengo noticias de CECOTEC.",Lorena Ayuso Ruano,Revisado en España el 26 de noviembre de 2023,NEU,NEG,NEG
La garantía de Cecotec no vale para nada,"1,0 de 5 estrellas","A los 3 meses empezó a levantarse la capa protectora del calentador de la cafetera. En un año está como en la foto. Consigues contactar con Cecotec (no es fácil!) y te dicen que eso no entra en la garantía, que es un asunto cosmético y que eso no lo cubren. Nunca más volveré a comprar nada de esta marca. #CecotecBasura",Cliente Amazon,Revisado en España el 6 de octubre de 2023,NEU,NEG,NEG
No funciona la valvula de agua,"1,0 de 5 estrellas","La cafetera de goteo cumbia
Compre
No sube agua
La valvula del agua no funciona y no pude hacer uso de la cafetera desde que la compre .
La tengo muerta de risa
Lastina de tirar el dinero cin esta cafetera
Nadie quiere saber nada cuando no funciona",Cliente Amazon,Revisado en España el 3 de diciembre de 2023,NEU,NEG,NEG
